iter	Passed	Remaining
574	305121	225524
575	305565	224930
576	306162	224448
577	306653	223888
578	307135	223323
579	307716	222829
580	308224	222282
581	308712	221721
582	309294	221227
583	309799	220678
584	310309	220134
585	310914	219656
586	311467	219141
587	311964	218587
588	312580	218116
589	313059	217550
590	313502	216958
591	314075	216457
592	314561	215896
593	315022	215318
594	315614	214829
595	316091	214263
596	316584	213707
597	317164	213210
598	317620	212630
599	318110	212073
600	318752	211617
601	319271	211079
602	319753	210517
603	320400	210064
604	320878	209499
605	321392	208958
606	321985	208468
607	322510	207934
608	323023	207392
609	323621	206905
610	324143	206369
611	324603	205794
612	325183	205295
613	325667	204735
614	326142	204170
615	326732	203677
616	327220	203120
617	327702	202560
618	328273	202055
619	328739	201485
620	329214	200921
621	329790	200419
622	330283	199866
623	330767	199308
624	331364	198818
625	331835	198253
626	332341	197708
627	332900	197195
628	333343	196614
629	333819	196052
630	334369	195534
631	334829	194963
632	335301	194400
633	335879	193898
634	336366	193344
635	336828	192776
636	337414	192278
637	337854	191697
638	338306	191124
639	338933	190650
640	339465	190121
641	339975	189581
642	340571	189088
643	341054	188533
644	341510	187963
645	342088	187460
646	342567	186902
647	343023	186333
648	343582	185820
649	344075	185271
650	344537	184705
651	345102	184195
652	345574	183635
653	346045	183075
654	346626	182574
655	347194	182065
656	347688	181517
657	348274	181018
658	348753	180462
659	349218	179900
660	349802	179399
661	350289	178848
662	350821	178320
663	351395	177814
664	351892	177269
665	352335	176696
666	352933	176202
667	353434	175658
668	353903	175100
669	354473	174591
670	354963	174043
671	355439	173488
672	356016	172982
673	356516	172439
674	356976	171877
675	357534	171362
676	357979	170793
677	358476	170249
678	359021	169729
679	359508	169180
680	359976	168623
681	360626	168151
682	361144	167617
683	361675	167089
684	362343	166624
685	362829	166076
686	363360	165548
687	363936	165041
688	364422	164492
689	364951	163963
690	365510	163448
691	365985	162895
692	366525	162371
693	367118	161870
694	367602	161321
695	368096	160777
696	368685	160275
697	369180	159731
698	369666	159184
699	370267	158685
700	370765	158144
701	371260	157600
702	371847	157096
703	372327	156546
704	372793	155991
705	373414	155501
706	373904	154956
707	374378	154404
708	374947	153892
709	375453	153354
710	375891	152788
711	376446	152270
712	376946	151730
713	377434	151185
714	377997	150670
715	378491	150127
716	378998	149590
717	379648	149109
718	380091	148547
719	380609	148014
720	381212	147515
721	381725	146980
722	382210	146434
723	382812	145933
724	383286	145384
725	383811	144854
726	384381	144341
727	384832	143783
728	385342	143248
729	385955	142750
730	386436	142204
731	386943	141667
732	387532	141161
733	388064	140633
734	388520	140078
735	389088	139564
736	389592	139026
737	390057	138475
738	390612	137956
739	391085	137408
740	391545	136856
741	392144	136352
742	392614	135803
743	393096	135259
744	393688	134752
745	394144	134199
746	394645	133661
747	395237	133154
748	395711	132608
749	396169	132056
750	396726	131537
751	397216	130997
752	397675	130445
753	398251	129933
754	398698	129378
755	399195	128840
756	399789	128333
757	400306	127802
758	400773	127254
759	401345	126740
760	401808	126192
761	402266	125642
762	402812	125120
763	403332	124589
764	403781	124037
765	404405	123539
766	404875	122993
767	405348	122448
768	405981	121952
769	406480	121416
770	406979	120879
771	407576	120372
772	408021	119820
773	408523	119284
774	409057	118758
775	409538	118217
776	409984	117665
777	410563	117153
778	411019	116604
779	411507	116066
780	412087	115553
781	412574	115014
782	413052	114473
783	413630	113959
784	414181	113438
785	414712	112911
786	415298	112399
787	415820	111870
788	416299	111329
789	416937	110831
790	417432	110294
791	417894	109749
792	418535	109252
793	419013	108711
794	419473	108166
795	420056	107652
796	420570	107121
797	421083	106589
798	421666	106076
799	422142	105535
800	422662	105006
801	423247	104492
802	423740	103956
803	424209	103414
804	424768	102894
805	425237	102352
806	425718	101813
807	426312	101302
808	426784	100761
809	427264	100222
810	427819	99701
811	428331	99170
812	428773	98623
813	429378	98113
814	429887	97581
815	430360	97042
816	430922	96522
817	431438	95992
818	431941	95459
819	432521	94943
820	433041	94414
821	433536	93880
822	434090	93358
823	434570	92820
824	435011	92275
825	435581	91756
826	436047	91216
827	436522	90678
828	437157	90173
829	437647	89638
830	438139	89104
831	438768	88597
832	439275	88066
833	439791	87536
834	440434	87031
835	440957	86503
836	441446	85968
837	442091	85463
838	442702	84952
839	443222	84423
840	443880	83920
841	444497	83409
842	445008	82878
843	445641	82369
844	446175	81842
845	446641	81303
846	447225	80785
847	447714	80250
848	448182	79712
849	448767	79194
850	449329	78672
851	449877	78147
852	450522	77639
853	451035	77109
854	451528	76574
855	452125	76058
856	452628	75526
857	453132	74993
858	453778	74485
859	454370	73967
860	454975	73451
861	455602	72938
862	456123	72408
863	456657	71881
864	457319	71373
865	457892	70851
866	458374	70315
867	458935	69791
868	459435	69258
869	459922	68724
870	460478	68199
871	460998	67669
872	461515	67139
873	462069	66614
874	462537	66076
875	462999	65538
876	463647	65026
877	464159	64495
878	464683	63966
879	465284	63447
880	465781	62914
881	466287	62383
882	466854	61859
883	467389	61331
884	467847	60793
885	468399	60268
886	468834	59727
887	469319	59193
888	469931	58675
889	470437	58143
890	470920	57609
891	471495	57086
892	471967	56551
893	472432	56015
894	473000	55491
895	473505	54960
896	473956	54423
897	474562	53903
898	475045	53369
899	475541	52837
900	476141	52317
901	476672	51789
902	477164	51256
903	477737	50733
904	478232	50201
905	478714	49667
906	479294	49144
907	479827	48616
908	480328	48085
909	480976	47569
910	481448	47035
911	481939	46502
912	482510	45978
913	482993	45445
914	483504	44915
915	484124	44395
916	484763	43877
917	485339	43352
918	485976	42833
919	486482	42302
920	486990	41772
921	487596	41250
922	488047	40714
923	488553	40184
924	489155	39661
925	489631	39128
926	490093	38594
927	490687	38070
928	491171	37538
929	491649	37005
930	492207	36479
931	492684	35946
932	493178	35415
933	493739	34889
934	494228	34358
935	494706	33826
936	495287	33301
937	495805	32771
938	496311	32241
939	496902	31717
940	497383	31185
941	497850	30653
942	498386	30125
943	498855	29593
944	499309	29060
945	499875	28534
946	500361	28003
947	500814	27470
948	501398	26945
949	501855	26413
950	502327	25882
951	502868	25354
952	503361	24824
953	503816	24293
954	504411	23768
955	504915	23238
956	505385	22708
957	505936	22180
958	506433	21651
959	506867	21119
960	507514	20596
961	508002	20066
962	508487	19536
963	509011	19008
964	509511	18479
965	510007	17950
966	510598	17424
967	511096	16895
968	511579	16366
969	512247	15842
970	512691	15312
971	513178	14782
972	513747	14256
973	514252	13727
974	514729	13198
975	515321	12671
976	515824	12143
977	516307	11614
978	516972	11089
979	517476	10560
980	517984	10032
981	518565	9505
982	519023	8975
983	519503	8447
984	520104	7920
985	520602	7391
986	521086	6863
987	521683	6336
988	522162	5807
989	522681	5279
990	523259	4752
991	523743	4223
992	524219	3695
993	524798	3167
994	525356	2639
995	525867	2111
996	526485	1584
997	526965	1056
998	527439	527
999	528041	0
