iter	Logloss
0	0.6746662547
1	0.658182671
2	0.6434768577
3	0.6303382254
4	0.6186355113
5	0.6081964888
6	0.5986039548
7	0.5902945689
8	0.5828929736
9	0.5762912134
10	0.5703872957
11	0.5651268157
12	0.5604152334
13	0.5562046396
14	0.5522652083
15	0.5489090624
16	0.5459071521
17	0.5424928995
18	0.5400935454
19	0.53794261
20	0.5356061894
21	0.5335195242
22	0.5317652856
23	0.5303069869
24	0.5289998271
25	0.5278023309
26	0.5263732594
27	0.5254082161
28	0.5242114798
29	0.523418117
30	0.522325142
31	0.5213501523
32	0.520766936
33	0.5199811565
34	0.5195067233
35	0.5190706742
36	0.518441846
37	0.5180855531
38	0.5177553426
39	0.5172445841
40	0.5167648322
41	0.5165165275
42	0.5161885413
43	0.5158157296
44	0.5155543414
45	0.5153161431
46	0.5150301545
47	0.5147707652
48	0.5145412332
49	0.5144154505
50	0.514258371
51	0.5140636478
52	0.5138953445
53	0.5137374014
54	0.5136793678
55	0.5135551583
56	0.5134332861
57	0.5133939174
58	0.5133548428
59	0.5132915815
60	0.5132181732
61	0.5131588378
62	0.5131005034
63	0.5130398921
64	0.5129730688
65	0.5129209714
66	0.5128690647
67	0.512809309
68	0.5127835899
69	0.5127030046
70	0.5126799625
71	0.5126551293
72	0.5125868673
73	0.5125547733
74	0.5125318966
75	0.5125023307
76	0.5124411677
77	0.5123973069
78	0.5123665501
79	0.5122951761
80	0.5122622694
81	0.5122140881
82	0.512190427
83	0.5121656912
84	0.5121403242
85	0.5121047779
86	0.5120812683
87	0.5120597059
88	0.5120382853
89	0.5120224156
90	0.5120035583
91	0.5119759593
92	0.5119456694
93	0.511927855
94	0.5118996893
95	0.5118710894
96	0.5118340397
97	0.5117996673
98	0.5117767816
99	0.5117520094
100	0.5117349902
101	0.5117061364
102	0.5116814514
103	0.5116343457
104	0.51161667
105	0.5115921899
106	0.5115565869
107	0.5115362812
108	0.5115108067
109	0.5114857107
110	0.5114473176
111	0.5114227475
112	0.5114034199
113	0.5113890562
114	0.5113608118
115	0.5113357943
116	0.5113010791
117	0.5112587378
118	0.5112363343
119	0.5112187132
120	0.5111900759
121	0.5111645823
122	0.5111399977
123	0.5111155902
124	0.5110947575
125	0.5110719664
126	0.511042548
127	0.511022115
128	0.5109958408
129	0.5109710387
130	0.5109439157
131	0.5109197089
132	0.5109089124
133	0.5108878923
134	0.5108631106
135	0.5108372451
136	0.5108130487
137	0.5107805245
138	0.5107617506
139	0.5107348214
140	0.5107040694
141	0.5106820974
142	0.5106584662
143	0.510648484
144	0.5106175132
145	0.5105964772
146	0.510579975
147	0.5105549262
148	0.5105251824
149	0.5105117445
150	0.5104944933
151	0.5104815738
152	0.5104591261
153	0.5104456242
154	0.5104217154
155	0.5104033773
156	0.5103771121
157	0.5103579527
158	0.5103311588
159	0.5103106205
160	0.5102996579
161	0.510280422
162	0.5102633184
163	0.5102457414
164	0.5102217022
165	0.5101960422
166	0.5101818344
167	0.5101713916
168	0.510160534
169	0.5101443711
170	0.5101267574
171	0.510104744
172	0.5100871561
173	0.5100643636
174	0.5100381561
175	0.5100209642
176	0.5100078243
177	0.5099833349
178	0.5099569879
179	0.5099440746
180	0.5099224031
181	0.5098947641
182	0.509871618
183	0.5098476108
184	0.509829163
185	0.509798218
186	0.5097867266
187	0.5097688727
188	0.5097414289
189	0.5097298219
190	0.5097115835
191	0.5096877784
192	0.5096706683
193	0.5096516095
194	0.5096345715
195	0.5096119518
196	0.5095939156
197	0.5095717231
198	0.5095568827
199	0.5095471076
200	0.5095272187
201	0.5095126657
202	0.5094952471
203	0.50947994
204	0.5094595986
205	0.5094398122
206	0.5094259437
207	0.5094062697
208	0.5093814139
209	0.50936072
210	0.5093372693
211	0.5093118361
212	0.5092949595
213	0.5092765534
214	0.5092441415
215	0.5092215267
216	0.5092004708
217	0.5091824736
218	0.5091613164
219	0.5091392529
220	0.5091217801
221	0.5091009505
222	0.5090741623
223	0.5090636105
224	0.5090445051
225	0.5090309877
226	0.5090044354
227	0.5089899764
228	0.5089687007
229	0.5089443817
230	0.5089240567
231	0.5089133602
232	0.5088952493
233	0.5088745538
234	0.5088542289
235	0.5088374479
236	0.5088125337
237	0.5087907895
238	0.5087785328
239	0.5087544094
240	0.508740083
241	0.5087118085
242	0.5086970183
243	0.5086745634
244	0.5086643626
245	0.5086402703
246	0.5086272017
247	0.5086134136
248	0.5085917593
249	0.5085750111
250	0.5085566445
251	0.5085330237
252	0.5085144612
253	0.5084994432
254	0.5084776296
255	0.5084528424
256	0.5084391693
257	0.5084208708
258	0.5084014215
259	0.5083815321
260	0.5083645047
261	0.5083383948
262	0.5083262708
263	0.5082999802
264	0.5082868829
265	0.5082692387
266	0.5082466879
267	0.508224819
268	0.508205015
269	0.508181146
270	0.508161119
271	0.508144835
272	0.5081250424
273	0.5081124748
274	0.5080914427
275	0.5080636581
276	0.5080401722
277	0.5080289926
278	0.5080067271
279	0.5079823697
280	0.5079578945
281	0.5079263783
282	0.5079065163
283	0.5078848698
284	0.5078628203
285	0.5078353788
286	0.5078108393
287	0.5077841781
288	0.5077502073
289	0.5077288603
290	0.5077042557
291	0.5076756948
292	0.5076493021
293	0.5076245718
294	0.507592549
295	0.5075668112
296	0.5075365595
297	0.5075087284
298	0.5074777461
299	0.5074473916
300	0.5074177272
301	0.5073904191
302	0.5073580317
303	0.507332655
304	0.5073067912
305	0.507276678
306	0.5072472349
307	0.507219102
308	0.5071934071
309	0.5071623177
310	0.5071300628
311	0.5071023245
312	0.5070704033
313	0.5070398789
314	0.5070072636
315	0.5069735133
316	0.5069447437
317	0.5069148211
318	0.5068846083
319	0.5068547008
320	0.5068269239
321	0.5067962894
322	0.5067589052
323	0.5067287577
324	0.5066950478
325	0.5066629961
326	0.506630156
327	0.5065977257
328	0.5065660289
329	0.506532623
330	0.5064997603
331	0.5064661225
332	0.5064347337
333	0.5064062615
334	0.5063777511
335	0.5063432454
336	0.5063135823
